ID;Puissancenominalunitaire;Emailcontact;Puissancenominaletotale;NOM_COMM;NOM_DEPT;NOM_REGION;LongitudeI;LatitudeI;Dnomination;Description;Miseenservice;Typedemachine;Dveloppeur;Oprateur;Commune;Dpartement;Nomcontact;Tlephone
44078;0;;0;PLOZEVET;FINISTERE;BRETAGNE;-4,391290763;48,00279458;;;;;;;;;;
44079;0;;0;PLOZEVET;FINISTERE;BRETAGNE;-4,389857888;48,00185946;;;;;;;;;;
44080;0;;0;PLOZEVET;FINISTERE;BRETAGNE;-4,388195104;48,00087772;;;;;;;;;;
44081;0;;0;GOULIEN;FINISTERE;BRETAGNE;-4,579595947;48,06499811;;;;;;;;;;
44082;0;;0;GOULIEN;FINISTERE;BRETAGNE;-4,575815079;48,0644248;;;;;;;;;;
44083;0;;0;GOULIEN;FINISTERE;BRETAGNE;-4,572261304;48,06403233;;;;;;;;;;
44084;0;;0;GOULIEN;FINISTERE;BRETAGNE;-4,571616114;48,06621041;;;;;;;;;;
44085;0;;0;GOULIEN;FINISTERE;BRETAGNE;-4,567932701;48,06586112;;;;;;;;;;
44086;0;;0;BEUZEC-CAP-SIZUN;FINISTERE;BRETAGNE;-4,564226518;48,066446;;;;;;;;;;
44087;0;;0;GOULIEN;FINISTERE;BRETAGNE;-4,575876899;48,06657678;;;;;;;;;;
44088;0;;0;SALLEN;CALVADOS;BASSE-NORMANDIE;-0,85546953;49,1145012;;;;;;;;;;
44089;0;;0;SALLEN;CALVADOS;BASSE-NORMANDIE;-0,85330085;49,11326405;;;;;;;;;;
44090;0;;0;SALLEN;CALVADOS;BASSE-NORMANDIE;-0,851142622;49,11202395;;;;;;;;;;
44091;0;;0;SALLEN;CALVADOS;BASSE-NORMANDIE;-0,848982681;49,11077381;;;;;;;;;;
44092;0;;0;VEULETTES-SUR-MER;SEINE-MARITIME;HAUTE-NORMANDIE;0,570744567;49,83839282;;;;;;;;;;
44093;0;;0;VEULETTES-SUR-MER;SEINE-MARITIME;HAUTE-NORMANDIE;0,572612525;49,83665831;;;;;;;;;;
44094;0;;0;VEULETTES-SUR-MER;SEINE-MARITIME;HAUTE-NORMANDIE;0,575900925;49,83813973;;;;;;;;;;
44095;0;;0;VEULETTES-SUR-MER;SEINE-MARITIME;HAUTE-NORMANDIE;0,579375618;49,83969684;;;;;;;;;;
44096;0;;0;MANNEVILLE-ES-PLAINS;SEINE-MARITIME;HAUTE-NORMANDIE;0,750581478;49,86459241;;;;;;;;;;
